experiment_date,group,users,conversions,conversion_rate
2017-01-02,control,2285,270,0.11816192560175055
2017-01-02,treatment,2302,279,0.12119895742832319
2017-01-03,control,6604,768,0.11629315566323441
2017-01-03,treatment,6589,754,0.1144331461526787
2017-01-04,control,6570,799,0.12161339421613394
2017-01-04,treatment,6564,754,0.11486898232784887
2017-01-05,control,6469,793,0.12258463441026433
2017-01-05,treatment,6518,759,0.11644676281067812
2017-01-06,control,6599,756,0.11456281254735566
2017-01-06,treatment,6741,808,0.11986352173268061
2017-01-07,control,6612,815,0.12326073805202661
2017-01-07,treatment,6637,799,0.12038571643814977
2017-01-08,control,6629,788,0.11887162467943883
2017-01-08,treatment,6673,797,0.1194365352914731
2017-01-09,control,6710,797,0.1187779433681073
2017-01-09,treatment,6613,772,0.1167397550279752
2017-01-10,control,6607,751,0.1136673225367035
2017-01-10,treatment,6713,856,0.12751377923432147
2017-01-11,control,6650,789,0.11864661654135339
2017-01-11,treatment,6619,766,0.1157274512766279
2017-01-12,control,6562,797,0.12145687290460226
2017-01-12,treatment,6678,809,0.12114405510631926
2017-01-13,control,6547,777,0.11868031159309607
2017-01-13,treatment,6493,731,0.11258278145695365
2017-01-14,control,6514,815,0.1251151366287995
2017-01-14,treatment,6608,784,0.11864406779661017
2017-01-15,control,6724,820,0.12195121951219512
2017-01-15,treatment,6545,744,0.11367456073338426
2017-01-16,control,6626,804,0.12134017506791428
2017-01-16,treatment,6593,775,0.11754891551645685
2017-01-17,control,6633,824,0.12422734810794513
2017-01-17,treatment,6496,835,0.12854064039408866
2017-01-18,control,6430,791,0.12301710730948678
2017-01-18,treatment,6630,834,0.1257918552036199
2017-01-19,control,6592,787,0.11938713592233009
2017-01-19,treatment,6535,766,0.1172149961744453
2017-01-20,control,6534,760,0.11631466176920723
2017-01-20,treatment,6678,776,0.11620245582509733
2017-01-21,control,6744,853,0.12648279952550415
2017-01-21,treatment,6514,757,0.11621123733497084
2017-01-22,control,6611,778,0.1176826501285736
2017-01-22,treatment,6720,793,0.11800595238095238
2017-01-23,control,6727,854,0.12695109261186263
2017-01-23,treatment,6621,805,0.12158284247092584
2017-01-24,control,4295,503,0.11711292200232828
2017-01-24,treatment,4230,511,0.12080378250591016
